filename,event_labels
01_000006.wav,8-1;8
01_000038.wav,8-1;7-1;8;7
01_000061.wav,5;6;6-X;5-1;6-1
01_000126.wav,7-1;7-2;7
01_000143.wav,7-4;7-2;7;7-1;7-3
01_000156.wav,7-2;7;8-1;7-1;8
01_000159.wav,6-X;7;6-1;7-1;6
01_000167.wav,8-1;5;8;5-1
01_000172.wav,7;1-2;1;7-1;7-3
01_000174.wav,1-3;7;1;1-X;7-1
01_000186.wav,8-1;7-1;8;7
01_000219.wav,7-X;7;1-2;8-1;1;8
01_000227.wav,6-3;4;6-1;8-1;4-1;8;6
01_000237.wav,7-1;7
01_000319.wav,8-1;2;8;2-1
01_000341.wav,5;7;5-1;8-1;7-1;8
01_000345.wav,7-X;7;3;8-1;7-1;8;3-1
01_000378.wav,7;1-1;1;8-1;7-1;8
01_000380.wav,8-1;7-1;8;7
01_000392.wav,6-X;7;1-2;1;1-X;7-1;6
01_000414.wav,8-1;7-1;8;7
01_000420.wav,7-1;7
01_000443.wav,7-X;6-X;7;1-2;6-1;1;8-1;7-1;8;6
01_000467.wav,8-1;8
01_000497.wav,1-1;1;5;5-X
01_000502.wav,7;1-2;1;8-1;7-1;8
01_000504.wav,1-X;1;3-1;3
01_000511.wav,1-X;1
01_000550.wav,2;2-X;1-2;8-1;1;8
01_000551.wav,1-2;1;1-X
01_000596.wav,1-3;7;1;8-1;7-1;8
01_000695.wav,8-1;7-1;8;7
01_000702.wav,8-1;7-1;8;7
01_000724.wav,8-1;8
01_000751.wav,8-1;1;1-2;8
01_000759.wav,4-1;4;4-3
01_000775.wav,1-3;3;1-2;1;3-1
01_000789.wav,3-1;2;2-1;3
01_000794.wav,8-1;8;3-1;3
01_000851.wav,8-1;8
01_000856.wav,8-1;7-1;8;7
01_000863.wav,7-1;7
01_000881.wav,8-1;8
01_000884.wav,1-2;1-3;1
01_000912.wav,1-3;3;1-2;1;3-1
01_000914.wav,7;6-1;8-1;7-1;8;6
01_000917.wav,1-3;1;2;2-1
01_000967.wav,8-1;7-1;8;7
01_000982.wav,8-1;7-1;8;7
01_001018.wav,8-1;7-1;8;7
01_001043.wav,1-X;1-3;1
01_001059.wav,5;7;5-1;1;1-X;7-1
01_001086.wav,8-1;5;8;5-1
01_001093.wav,1-3;1-2;8-1;1;8
01_001134.wav,7;1-2;1;8-1;7-1;8
01_001142.wav,8-1;1;1-2;8
01_001155.wav,8-1;7-1;8;7
01_001179.wav,1-2;1
01_001186.wav,1-3;5;2;2-1;5-4;1
01_001197.wav,5;2;2-1;5-3
01_001213.wav,8-1;8
01_001214.wav,1-3;5;2;2-X;5-X;1
01_001235.wav,8-1;1;1-2;8
01_001262.wav,4-X;4
01_001267.wav,5;7;5-1;1-2;1;8-1;7-1;8
01_001297.wav,8-1;8
01_001299.wav,8-1;8
01_001303.wav,6-X;7;1-2;1;7-1;6
01_001311.wav,8-1;7-1;8;7
01_001332.wav,2;7-X;2-X;7;2-1;7-1
01_001341.wav,8-1;7-1;8;7
01_001350.wav,7-X;7;8-1;7-1;8
01_001373.wav,7-1;7
01_001377.wav,8-1;8
01_001384.wav,8-1;7;8;7-X
01_001435.wav,6-2;1-3;7;1;7-1;6
01_001441.wav,1-3;7;1-2;1;7-1
01_001463.wav,2-X;4-X;4;2
01_001464.wav,5;5-1
01_001474.wav,7-1;7
01_001476.wav,4;7;4-3;4-2;3;8-1;7-1;8;3-1
01_001495.wav,1-2;1
01_001496.wav,5;5-3
01_001516.wav,1-2;1-1;1
01_001524.wav,8-1;7-1;8;7
01_001534.wav,8-1;7-1;8;7
01_001554.wav,1-3;2;2-X;4;4-3;1
01_001557.wav,1-3;3;8-1;1;8;3-1
01_001572.wav,8-1;7-1;8;7
01_001584.wav,7-1;7;3-1;3
01_001585.wav,1-3;5;5-3;5-X;7;1;7-1
01_001588.wav,7;1-2;1;8-1;7-1;8
01_001594.wav,6-X;7;6-1;1-2;1;8-1;7-1;8;6
01_001610.wav,5;6-X;7;5-1;7-1;6
01_001611.wav,1-3;1
01_001634.wav,5;7;5-1;1-2;1;7-1;7-3
01_001658.wav,6;7-1;7;6-X
01_001667.wav,6-X;3;1-2;1;3-1;6
01_001677.wav,5;7-X;7;5-1;1-2;1;1-X;7-1
01_001696.wav,8-1;7;8;7-X
01_001702.wav,2;2-X;4-X;4;8-1;8
01_001729.wav,8-1;7-1;8;7
01_001731.wav,1-3;7-1;1;7
01_001767.wav,8-1;2-X;2;8
01_001778.wav,6;3;3-1;6-X
01_001781.wav,1-1;7-1;1;7
01_001793.wav,8-1;7;8;7-X
01_001802.wav,1-2;7-1;1;7
01_001859.wav,8-1;7-1;8;7
01_001879.wav,7-1;7;3-1;3
01_001911.wav,8-1;1;1-2;8
01_001948.wav,5-4;7-1;5;7
01_001953.wav,7-X;7;8-1;7-1;8
01_001971.wav,8-1;8
01_001977.wav,8-1;8
01_002024.wav,8-1;7-1;8;7
01_002035.wav,7-2;7;8-1;1-X;1;7-1;8
01_002036.wav,8-1;1-X;1;8
01_002043.wav,1-3;1
01_002048.wav,1-3;3;1-X;1;3-1
01_002053.wav,8-1;7-1;8;7
01_002075.wav,7;3;1-2;1;8-1;7-1;8;3-1
01_002084.wav,1-2;1-3;1;1-X
01_002117.wav,1-3;2;2-X;1-X;1
01_002139.wav,5;7-X;5-3;7;8-1;8
01_002140.wav,8-1;8
01_002143.wav,8-1;8
01_002150.wav,5;5-3;7;8-1;7-1;8
01_002162.wav,1-3;1
01_002165.wav,1-3;7-2;7;8-1;1;8
01_002166.wav,8-1;5-4;5;8
01_002242.wav,3;1-2;8-1;1;8;3-1
01_002247.wav,6-X;7;1-2;1;7-1;6
01_002253.wav,8-1;8
01_002269.wav,8-1;6;8;6-X
01_002292.wav,8-1;5;8;5-1
01_002293.wav,7-1;7
01_002297.wav,8-1;8;3-1;3
01_002316.wav,8-1;7-1;8;7
01_002318.wav,8-1;8
01_002324.wav,5;7-X;7;1-2;1;8-1;5-4;7-1;8
01_002343.wav,1-2;8-1;1;8
01_002363.wav,8-1;6;8;6-1
01_002412.wav,7;1-2;1;1-X;7-1
01_002494.wav,1-3;7;1;8-1;7-1;8
01_002503.wav,8-1;8
01_002518.wav,8-1;7-1;8;7
01_002519.wav,7-1;7
01_002532.wav,1-3;7-2;7;1-1;1
01_002538.wav,7-1;7
01_002553.wav,1-2;1-3;1
01_002572.wav,8-1;8
01_002577.wav,8-1;7-1;8;7
01_002587.wav,1-3;1
01_002615.wav,7-1;7
01_002616.wav,1-1;1
